,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression (Baseline),0.9347,0.4762,0.1471,0.2247,0.8325
KNN (Baseline),0.9309,0.2727,0.0441,0.0759,0.6513
Random Forest (Baseline),0.9366,0.5333,0.1176,0.1928,0.8531
XGBoost (Baseline),0.9328,0.4545,0.2206,0.297,0.8672
Logistic Regression (Class-Weighted),0.8486,0.2416,0.6324,0.3496,0.8293
KNN (Class-Weighted),0.9309,0.2727,0.0441,0.0759,0.6513
Random Forest (Class-Weighted),0.9385,0.6364,0.1029,0.1772,0.8658
XGBoost (Class-Weighted),0.9253,0.3962,0.3088,0.3471,0.8534
Logistic Regression (SMOTE),0.8543,0.244,0.6029,0.3475,0.8299
KNN (SMOTE),0.842,0.1847,0.4265,0.2578,0.7059
Random Forest (SMOTE),0.9309,0.4444,0.2941,0.354,0.8326
XGBoost (SMOTE),0.9281,0.4091,0.2647,0.3214,0.8322
