Feature,Coefficient,Abs_Coefficient
flags__hypertensive,2.260091587697722,2.260091587697722
flags__family_hypertension,2.1096223571811317,2.1096223571811317
flags__family_diabetes,-2.075361100033593,2.075361100033593
num__bmi,1.2526302167311352,1.2526302167311352
flags__cardiovascular_disease,0.8553282221490911,0.8553282221490911
num__weight,-0.8173636831004378,0.8173636831004378
num__height,0.7772395689398472,0.7772395689398472
num__glucose,0.7078180210863033,0.7078180210863033
flags__stroke,-0.6187261007400223,0.6187261007400223
num__diastolic_bp,0.23291271768565616,0.23291271768565616
num__systolic_bp,0.21509712339421252,0.21509712339421252
num__age,0.1864154282572537,0.1864154282572537
num__pulse_rate,0.1738127928942827,0.1738127928942827
gender__gender_Male,0.05518946173300919,0.05518946173300919
