Feature,Importance
num__glucose,0.2307725022989182
flags__hypertensive,0.1752092351244125
num__systolic_bp,0.1125898821890645
num__diastolic_bp,0.09270212346300595
num__weight,0.08977193784668969
num__bmi,0.08563319751398418
num__age,0.07479447509261018
num__pulse_rate,0.06827568202225906
num__height,0.05540096665747635
gender__gender_Male,0.008332133405490815
flags__cardiovascular_disease,0.0026027700048121888
flags__family_diabetes,0.001880329585873346
flags__family_hypertension,0.0017385321766042905
flags__stroke,0.00029623261879885813
